year_month,fuel_type,unit_price_type,unit_price,unit,row_number
2021-11,LNG,열량단가,76610.891,원/GCAL,270
2021-11,무연탄,열량단가,27861.0,원/GCAL,269
2021-11,원자력,열량단가,2552.27,원/GCAL,268
2021-11,유류,열량단가,93417.969,원/GCAL,267
2021-11,유연탄,열량단가,29879.0,원/GCAL,266
2021-12,LNG,열량단가,82616.211,원/GCAL,265
2021-12,무연탄,열량단가,22345.0,원/GCAL,264
2021-12,원자력,열량단가,2563.75,원/GCAL,263
2021-12,유류,열량단가,95532.109,원/GCAL,262
2021-12,유연탄,열량단가,32852.809,원/GCAL,261
2022-01,LNG,열량단가,89717.422,원/GCAL,260
2022-01,무연탄,열량단가,33991.0,원/GCAL,259
2022-01,원자력,열량단가,2564.75,원/GCAL,258
2022-01,유류,열량단가,99472.57,원/GCAL,257
2022-01,유연탄,열량단가,35748.051,원/GCAL,256
2022-02,LNG,열량단가,115453.93,원/GCAL,255
2022-02,무연탄,열량단가,34434.5,원/GCAL,254
2022-02,원자력,열량단가,2564.58,원/GCAL,253
2022-02,유류,열량단가,126425.07,원/GCAL,252
2022-02,유연탄,열량단가,39107.078,원/GCAL,251
2022-03,LNG,열량단가,104505.852,원/GCAL,250
2022-03,무연탄,열량단가,31204.5,원/GCAL,249
2022-03,원자력,열량단가,2564.82,원/GCAL,248
2022-03,유류,열량단가,130738.109,원/GCAL,247
2022-03,유연탄,열량단가,40727.27,원/GCAL,246
2022-04,LNG,열량단가,114224.0,원/GCAL,245
2022-04,무연탄,열량단가,32548.5,원/GCAL,244
2022-04,원자력,열량단가,2563.27,원/GCAL,243
2022-04,유류,열량단가,133950.328,원/GCAL,242
2022-04,유연탄,열량단가,44267.461,원/GCAL,241
2022-05,LNG,열량단가,93633.242,원/GCAL,240
2022-05,무연탄,열량단가,61076.5,원/GCAL,239
2022-05,원자력,열량단가,2564.04,원/GCAL,238
2022-05,유류,열량단가,140081.797,원/GCAL,237
2022-05,유연탄,열량단가,47606.77,원/GCAL,236
2022-06,LNG,열량단가,89385.258,원/GCAL,235
2022-06,무연탄,열량단가,42037.75,원/GCAL,234
2022-06,원자력,열량단가,2562.53,원/GCAL,233
2022-06,유류,열량단가,149111.297,원/GCAL,232
2022-06,유연탄,열량단가,48472.828,원/GCAL,231
2022-07,LNG,열량단가,91732.289,원/GCAL,230
2022-07,무연탄,열량단가,42957.398,원/GCAL,229
2022-07,원자력,열량단가,2558.73,원/GCAL,228
2022-07,유류,열량단가,154089.203,원/GCAL,227
2022-07,유연탄,열량단가,50152.41,원/GCAL,226
2022-08,LNG,열량단가,101968.031,원/GCAL,225
2022-08,무연탄,열량단가,44888.75,원/GCAL,224
2022-08,원자력,열량단가,2557.0,원/GCAL,223
2022-08,유류,열량단가,160191.281,원/GCAL,222
2022-08,유연탄,열량단가,52296.539,원/GCAL,221
2022-09,LNG,열량단가,105351.977,원/GCAL,220
2022-09,무연탄,열량단가,45297.75,원/GCAL,219
2022-09,원자력,열량단가,2556.71,원/GCAL,218
2022-09,유류,열량단가,158854.953,원/GCAL,217
2022-09,유연탄,열량단가,52259.93,원/GCAL,216
2022-10,LNG,열량단가,112323.281,원/GCAL,215
2022-10,무연탄,열량단가,45628.57,원/GCAL,214
2022-10,원자력,열량단가,2556.73,원/GCAL,213
2022-10,유류,열량단가,160629.344,원/GCAL,212
2022-10,유연탄,열량단가,53009.621,원/GCAL,211
2022-11,LNG,열량단가,112323.281,원/GCAL,210
2022-11,무연탄,열량단가,45628.57,원/GCAL,209
2022-11,원자력,열량단가,2543.92,원/GCAL,208
