row_number,market_area,company_name,generator_name,dispatch_type,generation_source,generation_form,fuel_type,capacity_mw
1,비수도권,승연태양광발전소,승연태양광발전소_임시발전기,비중앙,기타,기타,기타,0.0
2,수도권,에스케이이엔에스 주식회사,에스케이이엔에스임시,비중앙,기타,기타,DER,0.0
3,비수도권,(주)영양제2풍력발전,fgsyyw007,비중앙,DER,풍력,DER,0.0
4,비수도권,군산육상태양광(주),fLAND004,비중앙,DER,태양광,DER,0.0
5,비수도권,양양풍력발전 주식회사,fYY011,비중앙,DER,풍력,DER,0.0
6,비수도권,경주풍력발전(주),fgwp013,비중앙,DER,풍력,DER,0.0
7,비수도권,한국수력원자력(주),fKHNP010,비중앙,DER,태양광,DER,0.0
8,비수도권,(주)영양에코파워,fYYE002,비중앙,DER,풍력,DER,0.0
9,비수도권,주식회사 새만금희망태양광,fSMGHM004,비중앙,DER,태양광,DER,0.0
10,수도권,(주)엘지에너지솔루션,fAVEL011,비중앙,DER,기타,DER,0.0
11,수도권,주식회사 해줌,fHZ035,비중앙,DER,태양광,DER,0.0
12,비수도권,주식회사 삼수풍력발전,fsamsu001,비중앙,DER,풍력,DER,0.0
13,수도권,주식회사 해줌,fHZ034,비중앙,DER,풍력,DER,0.0
14,비수도권,영덕해맞이풍력발전 주식회사,fYD007,비중앙,DER,풍력,DER,0.0
15,수도권,(주)엘지에너지솔루션,fAVEL010,비중앙,DER,태양광,DER,0.0
16,비수도권,태안햇들원태양광주식회사,fssp001,비중앙,DER,태양광,DER,0.0
17,비수도권,(주)새만금세빛발전소,fsspv006,비중앙,DER,태양광,DER,0.0
18,비수도권,효성윈드파워홀딩스(주),fhswp003,비중앙,DER,풍력,DER,0.0
19,비수도권,한국해상풍력 주식회사,fKOWP010,비중앙,DER,풍력,DER,0.0
20,비수도권,오미산풍력발전,foms002,비중앙,DER,풍력,DER,0.0
21,비수도권,원동풍력,fWDWP008,비중앙,DER,풍력,DER,0.0
22,비수도권,한국동서발전(주),fEWP016,비중앙,DER,풍력,DER,0.0
23,수도권,주식회사 해줌,fHZ033,비중앙,DER,태양광,DER,0.0
24,수도권,에이치디현대에너지솔루션(주),fHES002,비중앙,DER,태양광,DER,0.0
25,수도권,주식회사 에너닷,fENDOT009,비중앙,DER,태양광,DER,0.0
26,수도권,주식회사 케이티,fKT029,비중앙,DER,태양광,DER,0.0
27,비수도권,영광풍력발전 주식회사,fYGWP003,비중앙,DER,풍력,DER,0.0
28,비수도권,평창풍력발전주식회사,fPCWD010,비중앙,DER,풍력,DER,0.0
29,비수도권,청산풍력발전주식회사,fcswp022,비중앙,DER,풍력,DER,0.0
30,수도권,(주)엘지에너지솔루션,fAVEL009,비중앙,DER,태양광,DER,0.0
31,비수도권,양양풍력발전 주식회사,fYY010,비중앙,DER,풍력,DER,0.0
32,비수도권,(주)영양제2풍력발전,fgsyyw006,비중앙,DER,풍력,DER,0.0
33,비수도권,경주풍력발전(주),fgwp012,비중앙,DER,풍력,DER,0.0
34,비수도권,태백가덕산풍력발전 주식회사,fTBGD002,비중앙,DER,풍력,DER,0.0
35,비수도권,한국해상풍력 주식회사,fKOWP009,비중앙,DER,풍력,DER,0.0
36,비수도권,한국남부발전,fKOSPO003,비중앙,DER,태양광,DER,0.0
37,비수도권,청산풍력발전주식회사,fcswp021,비중앙,DER,풍력,DER,0.0
38,비수도권,양양풍력발전 주식회사,fYY009,비중앙,DER,풍력,DER,0.0
39,비수도권,평창풍력발전주식회사,fPCWD009,비중앙,DER,풍력,DER,0.0
40,비수도권,부산정관에너지 주식회사,fBJE013,비중앙,DER,태양광,DER,0.0
41,수도권,(주)엘지에너지솔루션,fAVEL008,비중앙,DER,DER,DER,0.0
42,수도권,주식회사 에너닷,fENDOT008,비중앙,DER,태양광,DER,0.0
43,비수도권,그린에너지발전 주식회사,fGEP001,비중앙,DER,풍력,DER,0.0
44,비수도권,태백가덕산풍력발전 주식회사,fTBGD001,비중앙,DER,풍력,DER,0.0
45,비수도권,한국해상풍력 주식회사,fKOWP008,비중앙,DER,풍력,DER,0.0
46,비수도권,한국농어촌공사 고흥지사,fKRCGH005,비중앙,DER,태양광,DER,0.0
47,수도권,주식회사 해줌,fHZ032,비중앙,DER,태양광,DER,0.0
48,비수도권,(주)그린에너지영광,fgeyg004,비중앙,DER,태양광,DER,0.0
49,비수도권,청산풍력발전주식회사,fcswp020,비중앙,DER,풍력,DER,0.0
50,비수도권,양양풍력발전 주식회사,fYY008,비중앙,DER,풍력,DER,0.0
51,비수도권,(주)지에스동해전력,fGSDEP006,비중앙,DER,태양광,DER,0.0
52,비수도권,한국농어촌공사 고흥지사,fKRCGH004,비중앙,DER,태양광,DER,0.0
53,비수도권,한국해상풍력 주식회사,fKOWP007,비중앙,DER,풍력,DER,0.0
54,비수도권,효성윈드파워홀딩스(주),fhswp002,비중앙,DER,풍력,DER,0.0
55,수도권,(주)엘지에너지솔루션,fAVEL007,비중앙,DER,DER,DER,0.0
56,비수도권,양양풍력발전 주식회사,fYY006,비중앙,DER,풍력,DER,0.0
57,수도권,주식회사 해줌,fHZ031,비중앙,DER,태양광,DER,0.0
58,비수도권,청산풍력발전주식회사,fcswp019,비중앙,DER,풍력,DER,0.0
59,비수도권,울진풍력 주식회사,fujwf006,비중앙,DER,풍력,DER,0.0
60,비수도권,금성산풍력발전 주식회사,fGS008,비중앙,DER,풍력,DER,0.0
61,비수도권,(주)영양제2풍력발전,fgsyyw005,비중앙,DER,풍력,DER,0.0
62,수도권,주식회사 케이티,fKT028,비중앙,DER,태양광,DER,0.0
63,비수도권,경주풍력발전(주),fgwp011,비중앙,DER,풍력,DER,0.0
64,수도권,서울에너지공사,fSE003,비중앙,DER,태양광,DER,0.0
65,비수도권,(주)그린에너지영광,fgeyg003,비중앙,DER,태양광,DER,0.0
66,비수도권,(주)영양풍력발전공사,fYYWPC003,비중앙,DER,풍력,DER,0.0
67,비수도권,영암풍력발전(주),fYAWF005,비중앙,DER,풍력,DER,0.0
68,비수도권,한국해상풍력 주식회사,fKOWP006,비중앙,DER,풍력,DER,0.0
69,수도권,브라이트에너지파트너스 주식회사,fBEP001,비중앙,DER,태양광,DER,0.0
70,비수도권,효성윈드파워홀딩스(주),fhswp001,비중앙,DER,풍력,DER,0.0
71,비수도권,원동풍력,fWDWP007,비중앙,DER,풍력,DER,0.0
72,비수도권,양양풍력발전 주식회사,fYY006,비중앙,DER,풍력,DER,0.0
73,비수도권,영덕해맞이풍력발전 주식회사,fYD006,비중앙,DER,풍력,DER,0.0
74,비수도권,금성산풍력발전 주식회사,fGS007,비중앙,DER,풍력,DER,0.0
75,비수도권,오미산풍력발전,foms001,비중앙,DER,풍력,DER,0.0
76,비수도권,경주풍력발전(주),fgwp010,비중앙,DER,풍력,DER,0.0
77,비수도권,청산풍력발전주식회사,fcswp018,비중앙,DER,풍력,DER,0.0
78,비수도권,GS풍력발전,fGSWP005,비중앙,DER,풍력,DER,0.0
79,수도권,에스케이에코플랜트 주식회사,fSKEP003,비중앙,DER,태양광,DER,0.0
80,비수도권,평창풍력발전주식회사,fPCWD008,비중앙,DER,풍력,DER,0.0
81,비수도권,(주)그린에너지영광,fgeyg002,비중앙,DER,태양광,DER,0.0
82,비수도권,한국해상풍력 주식회사,fKOWP005,비중앙,DER,풍력,DER,0.0
83,비수도권,영광풍력발전 주식회사,fYGWP002,비중앙,DER,풍력,DER,0.0
84,비수도권,(주)영양풍력발전공사,fYYWPC002,비중앙,DER,풍력,DER,0.0
85,비수도권,울진풍력 주식회사,fujwf005,비중앙,DER,풍력,DER,0.0
86,수도권,주식회사 케이티,fKT027,비중앙,DER,풍력,DER,0.0
87,수도권,주식회사 케이티,fKT026,비중앙,DER,태양광,DER,0.0
88,수도권,주식회사 해줌,fHZ030,비중앙,DER,태양광,DER,0.0
89,비수도권,주식회사 태안안면클린에너지,fTACE002,비중앙,DER,태양광,DER,0.0
90,비수도권,경주풍력발전(주),fgwp009,비중앙,DER,풍력,DER,0.0
91,수도권,엔라이튼 주식회사,fSLC014,비중앙,DER,태양광,DER,0.0
92,비수도권,청산풍력발전주식회사,fcswp017,비중앙,DER,풍력,DER,0.0
93,비수도권,원동풍력,fWDWP006,비중앙,DER,풍력,DER,0.0
94,비수도권,군산육상태양광(주),fLAND003,비중앙,DER,태양광,DER,0.0
