날짜,거래시간,smp_육지,수요_육지
2024-01-01,1,94090.0,59440.0
2024-01-01,2,87910.0,56989.0
2024-01-01,3,78860.0,55335.0
2024-01-01,4,78860.0,54477.0
2024-01-01,5,78860.0,54522.0
2024-01-01,6,78860.0,55176.0
2024-01-01,7,78860.0,56155.0
2024-01-01,8,87910.0,56751.0
2024-01-01,9,89050.0,56628.0
2024-01-01,10,89130.0,54577.0
2024-01-01,11,89090.0,52885.0
2024-01-01,12,89010.0,51394.0
2024-01-01,13,85660.0,50820.0
2024-01-01,14,85440.0,51586.0
2024-01-01,15,85460.0,53607.0
2024-01-01,16,88850.0,55924.0
2024-01-01,17,115860.0,58499.0
2024-01-01,18,120390.0,61815.0
2024-01-01,19,118150.0,63132.0
2024-01-01,20,94090.0,62931.0
2024-01-01,21,94090.0,62188.0
2024-01-01,22,88970.0,61164.0
2024-01-01,23,94070.0,60970.0
2024-01-01,24,94090.0,60735.0
2024-01-02,1,78550.0,57950.0
2024-01-02,2,76470.0,55640.0
2024-01-02,3,76470.0,54423.0
2024-01-02,4,76470.0,54013.0
2024-01-02,5,76470.0,54821.0
2024-01-02,6,76470.0,56898.0
2024-01-02,7,76470.0,61247.0
2024-01-02,8,121710.0,68237.0
2024-01-02,9,155460.0,76961.0
2024-01-02,10,194800.0,80460.0
2024-01-02,11,197690.0,80380.0
2024-01-02,12,178030.0,78418.0
2024-01-02,13,166120.0,75063.0
2024-01-02,14,175040.0,77354.0
2024-01-02,15,175040.0,78370.0
2024-01-02,16,175040.0,78962.0
2024-01-02,17,166120.0,79438.0
2024-01-02,18,166120.0,79190.0
2024-01-02,19,166120.0,77282.0
2024-01-02,20,166120.0,75155.0
2024-01-02,21,154250.0,72394.0
2024-01-02,22,140950.0,70082.0
2024-01-02,23,137350.0,70289.0
2024-01-02,24,132790.0,69487.0
2024-01-03,1,92520.0,65696.0
2024-01-03,2,92500.0,63141.0
2024-01-03,3,92500.0,61664.0
2024-01-03,4,92500.0,61194.0
2024-01-03,5,92500.0,61581.0
2024-01-03,6,92500.0,63301.0
2024-01-03,7,92520.0,66869.0
2024-01-03,8,143000.0,72528.0
2024-01-03,9,167400.0,80235.0
2024-01-03,10,227730.0,83422.0
2024-01-03,11,175280.0,82535.0
2024-01-03,12,167400.0,79764.0
2024-01-03,13,167260.0,75386.0
2024-01-03,14,167260.0,78851.0
2024-01-03,15,167260.0,80137.0
2024-01-03,16,167270.0,80320.0
2024-01-03,17,162100.0,81276.0
2024-01-03,18,160830.0,80849.0
2024-01-03,19,159630.0,79223.0
2024-01-03,20,159130.0,77431.0
2024-01-03,21,158500.0,74779.0
2024-01-03,22,141440.0,72383.0
2024-01-03,23,121700.0,72077.0
2024-01-03,24,141730.0,71400.0
2024-01-04,1,121710.0,67462.0
2024-01-04,2,87640.0,64977.0
2024-01-04,3,81580.0,63750.0
2024-01-04,4,76920.0,63179.0
2024-01-04,5,76920.0,63693.0
2024-01-04,6,80560.0,65327.0
2024-01-04,7,107230.0,68973.0
2024-01-04,8,121740.0,75025.0
2024-01-04,9,167400.0,81728.0
2024-01-04,10,201500.0,81388.0
2024-01-04,11,188280.0,78139.0
2024-01-04,12,168610.0,74381.0
2024-01-04,13,145580.0,70015.0
2024-01-04,14,165520.0,72574.0
2024-01-04,15,164750.0,74343.0
2024-01-04,16,164840.0,76587.0
2024-01-04,17,143670.0,79381.0
2024-01-04,18,143860.0,80141.0
2024-01-04,19,143960.0,78979.0
2024-01-04,20,144160.0,77378.0
2024-01-04,21,139230.0,74608.0
2024-01-04,22,133770.0,72201.0
2024-01-04,23,133790.0,71902.0
2024-01-04,24,133790.0,71231.0
2024-01-05,1,107460.0,67307.0
2024-01-05,2,83790.0,64619.0
2024-01-05,3,83790.0,62985.0
2024-01-05,4,83790.0,62320.0
2024-01-05,5,83790.0,62618.0
2024-01-05,6,83790.0,64021.0
2024-01-05,7,87050.0,67593.0
2024-01-05,8,142510.0,72865.0
2024-01-05,9,171780.0,79708.0
2024-01-05,10,195140.0,80632.0
2024-01-05,11,171780.0,79108.0
2024-01-05,12,167750.0,76430.0
2024-01-05,13,143270.0,72007.0
2024-01-05,14,144340.0,73773.0
2024-01-05,15,159160.0,74558.0
2024-01-05,16,174090.0,75004.0
2024-01-05,17,164800.0,76261.0
2024-01-05,18,161000.0,76418.0
2024-01-05,19,159160.0,75461.0
2024-01-05,20,159160.0,74054.0
2024-01-05,21,159160.0,71947.0
2024-01-05,22,137480.0,69966.0
2024-01-05,23,110760.0,70047.0
2024-01-05,24,137540.0,69584.0
2024-01-06,1,88920.0,65942.0
2024-01-06,2,87750.0,63518.0
2024-01-06,3,84400.0,61950.0
2024-01-06,4,84390.0,61124.0
2024-01-06,5,84420.0,61376.0
2024-01-06,6,86750.0,62128.0
2024-01-06,7,89000.0,63800.0
2024-01-06,8,108560.0,65278.0
2024-01-06,9,112710.0,65979.0
2024-01-06,10,134950.0,63300.0
2024-01-06,11,135710.0,60227.0
2024-01-06,12,143870.0,57474.0
2024-01-06,13,135500.0,54820.0
2024-01-06,14,135500.0,55854.0
2024-01-06,15,135710.0,57848.0
2024-01-06,16,135710.0,60473.0
2024-01-06,17,135000.0,63983.0
2024-01-06,18,134800.0,66679.0
2024-01-06,19,133760.0,67965.0
2024-01-06,20,133750.0,67576.0
2024-01-06,21,133660.0,66752.0
2024-01-06,22,110500.0,65666.0
2024-01-06,23,107140.0,66515.0
2024-01-06,24,88960.0,66501.0
2024-01-07,1,89170.0,63202.0
2024-01-07,2,87950.0,60706.0
2024-01-07,3,77600.0,59094.0
2024-01-07,4,77600.0,58267.0
2024-01-07,5,77600.0,58524.0
2024-01-07,6,77600.0,59242.0
2024-01-07,7,88070.0,60354.0
2024-01-07,8,88070.0,61076.0
2024-01-07,9,88150.0,61502.0
2024-01-07,10,85330.0,59956.0
2024-01-07,11,89370.0,57531.0
2024-01-07,12,85350.0,54609.0
2024-01-07,13,89290.0,53402.0
2024-01-07,14,89290.0,54136.0
2024-01-07,15,85220.0,55985.0
2024-01-07,16,89290.0,59040.0
2024-01-07,17,89290.0,63590.0
2024-01-07,18,116720.0,67878.0
2024-01-07,19,118830.0,69798.0
2024-01-07,20,118810.0,69423.0
2024-01-07,21,117360.0,68435.0
2024-01-07,22,92120.0,67075.0
2024-01-07,23,92120.0,66817.0
2024-01-07,24,92120.0,66665.0
2024-01-08,1,81620.0,64075.0
2024-01-08,2,79630.0,61697.0
2024-01-08,3,79630.0,60688.0
2024-01-08,4,79630.0,60279.0
2024-01-08,5,79630.0,60859.0
2024-01-08,6,79630.0,62938.0
2024-01-08,7,79630.0,67784.0
2024-01-08,8,139850.0,75299.0
2024-01-08,9,162760.0,83991.0
2024-01-08,10,187610.0,84150.0
2024-01-08,11,188500.0,80870.0
2024-01-08,12,177710.0,77220.0
2024-01-08,13,164880.0,72374.0
2024-01-08,14,166510.0,74905.0
2024-01-08,15,178530.0,76736.0
2024-01-08,16,189160.0,79380.0
2024-01-08,17,166510.0,83091.0
2024-01-08,18,166510.0,84037.0
2024-01-08,19,164890.0,82503.0
2024-01-08,20,164370.0,80247.0
2024-01-08,21,163630.0,77254.0
2024-01-08,22,163650.0,74414.0
2024-01-08,23,158730.0,74233.0
2024-01-08,24,142120.0,73473.0
2024-01-09,1,139850.0,69646.0
2024-01-09,2,107270.0,66989.0
2024-01-09,3,107150.0,65422.0
2024-01-09,4,107090.0,64513.0
2024-01-09,5,107420.0,64853.0
2024-01-09,6,107470.0,66359.0
2024-01-09,7,121710.0,69912.0
2024-01-09,8,143290.0,75902.0
2024-01-09,9,166640.0,83988.0
2024-01-09,10,200470.0,87692.0
2024-01-09,11,167400.0,88214.0
2024-01-09,12,167400.0,87188.0
2024-01-09,13,164340.0,83607.0
2024-01-09,14,166630.0,86069.0
2024-01-09,15,167400.0,86210.0
2024-01-09,16,190830.0,85765.0
2024-01-09,17,166630.0,85612.0
2024-01-09,18,166630.0,84130.0
2024-01-09,19,165520.0,81686.0
2024-01-09,20,162390.0,79165.0
2024-01-09,21,162140.0,76004.0
2024-01-09,22,157650.0,73371.0
2024-01-09,23,141240.0,73317.0
2024-01-09,24,154240.0,72596.0
2024-01-10,1,121720.0,68854.0
2024-01-10,2,92430.0,66332.0
2024-01-10,3,92430.0,64902.0
2024-01-10,4,92430.0,64105.0
2024-01-10,5,92430.0,64509.0
2024-01-10,6,92430.0,66079.0
2024-01-10,7,100530.0,69672.0
2024-01-10,8,143390.0,75331.0
2024-01-10,9,172770.0,83079.0
2024-01-10,10,227730.0,85081.0
2024-01-10,11,175740.0,83504.0
2024-01-10,12,177670.0,80157.0
2024-01-10,13,163540.0,75076.0
2024-01-10,14,166630.0,77298.0
