날짜,거래시간,태양광_합계,풍력_육지
2024-01-01,1,0.0039,148.44466
2024-01-01,2,0.008304,104.653405
2024-01-01,3,0.00016,87.030564
2024-01-01,4,0.01756,83.767996
2024-01-01,5,0.0002,70.062601
2024-01-01,6,0.00024,62.188444
2024-01-01,7,8e-05,53.119272
2024-01-01,8,4.596942,50.288923
2024-01-01,9,327.678119,45.563356
2024-01-01,10,1167.88511,100.168949
2024-01-01,11,1874.249941,84.598981
2024-01-01,12,2321.399153,39.947222
2024-01-01,13,2524.062156,4.643012
2024-01-01,14,2540.827156,3.775846
2024-01-01,15,1886.752519,8.33544
2024-01-01,16,1303.3045690000001,28.271976
2024-01-01,17,1117.286179,54.049106
2024-01-01,18,787.577542,74.630971
2024-01-01,19,725.978121,103.187596
2024-01-01,20,355.832847,115.63054
2024-01-01,21,159.12717800000001,164.223331
2024-01-01,22,75.095345,232.275246
2024-01-01,23,20.258328,337.437279
2024-01-01,24,3.286035,346.734023
2024-01-02,1,0.574668,350.202161
2024-01-02,2,0.06254,429.266868
2024-01-02,3,0.021316,463.377765
2024-01-02,4,0.256815,492.870137
2024-01-02,5,0.27725500000000003,527.518868
2024-01-02,6,0.25276,540.277237
2024-01-02,7,0.0024,555.58494
2024-01-02,8,3.616331,576.836066
2024-01-02,9,192.075443,593.753661
2024-01-02,10,628.7903249999999,665.250777
2024-01-02,11,1117.071718,691.186897
2024-01-02,12,1447.592339,654.277658
2024-01-02,13,1569.036729,584.51527
2024-01-02,14,1583.965979,543.225846
2024-01-02,15,1262.597947,514.225157
2024-01-02,16,947.0763139999999,505.880541
2024-01-02,17,977.480058,457.899489
2024-01-02,18,359.004049,379.158763
2024-01-02,19,203.741073,319.871106
2024-01-02,20,120.310813,254.896546
2024-01-02,21,65.65625,248.149875
2024-01-02,22,24.675248000000003,206.342839
2024-01-02,23,7.356285,171.4576
2024-01-02,24,1.4121,124.969622
2024-01-03,1,0.361499,115.530272
2024-01-03,2,0.029295,108.923009
2024-01-03,3,0.00016,118.427478
2024-01-03,4,0.132,129.107303
2024-01-03,5,0.00016,151.557862
2024-01-03,6,0.00016,159.339328
2024-01-03,7,8e-05,197.118467
2024-01-03,8,0.31413,179.69046
2024-01-03,9,88.776334,207.726401
2024-01-03,10,484.619983,341.502905
2024-01-03,11,1047.32318,411.635084
2024-01-03,12,1800.574853,472.459241
2024-01-03,13,2144.722237,563.622481
2024-01-03,14,2012.97358,610.7233
2024-01-03,15,1686.04057,742.564366
2024-01-03,16,1326.052737,793.745812
2024-01-03,17,1101.2081640000001,809.046348
2024-01-03,18,637.731698,778.760652
2024-01-03,19,497.267299,730.678004
2024-01-03,20,259.539368,708.06388
2024-01-03,21,77.374592,721.73698
2024-01-03,22,24.813188,593.587668
2024-01-03,23,4.633001,577.273527
2024-01-03,24,0.963468,514.288632
2024-01-04,1,0.228635,506.461053
2024-01-04,2,0.04884,440.49392
2024-01-04,3,8e-05,392.384009
2024-01-04,4,0.10736,304.069212
2024-01-04,5,0.00016,334.170485
2024-01-04,6,0.00024,383.897143
2024-01-04,7,0.0025599999999999998,405.133286
2024-01-04,8,6.296442,373.155127
2024-01-04,9,418.139815,320.85576
2024-01-04,10,1533.977953,360.257488
2024-01-04,11,2688.100575,353.650091
2024-01-04,12,3357.949535,339.60634
2024-01-04,13,3592.737119,309.424314
2024-01-04,14,3482.1981530000003,306.741267
2024-01-04,15,3032.971152,358.616013
2024-01-04,16,2050.904919,387.71534
2024-01-04,17,1336.295936,446.435022
2024-01-04,18,867.3376450000001,496.275077
2024-01-04,19,910.443873,577.413663
2024-01-04,20,733.6634690000001,594.053309
2024-01-04,21,321.71051900000003,658.982141
2024-01-04,22,147.1642,730.703619
2024-01-04,23,55.110313000000005,758.585995
2024-01-04,24,13.969435,763.822145
2024-01-05,1,2.891871,733.888792
2024-01-05,2,0.50826,749.634628
2024-01-05,3,0.05336,714.137745
2024-01-05,4,0.257856,685.718867
2024-01-05,5,0.26472,705.291847
2024-01-05,6,0.277295,669.890239
2024-01-05,7,0.0392,645.962129
2024-01-05,8,3.324661,605.952907
2024-01-05,9,223.412251,567.76348
2024-01-05,10,796.466367,597.541845
2024-01-05,11,1497.1321970000001,590.69633
2024-01-05,12,1978.763199,640.413419
2024-01-05,13,2219.053477,637.396914
2024-01-05,14,2282.637769,641.429318
2024-01-05,15,2010.841618,615.09133
2024-01-05,16,1558.812162,587.069959
2024-01-05,17,1190.074658,548.911932
2024-01-05,18,756.745111,522.571428
2024-01-05,19,668.855054,523.139803
2024-01-05,20,386.448591,524.241004
2024-01-05,21,115.60262900000001,546.055651
2024-01-05,22,42.184029,573.272585
2024-01-05,23,11.01628,572.148859
2024-01-05,24,2.13003,584.807875
2024-01-06,1,0.202207,628.371139
2024-01-06,2,0.00796,645.091226
2024-01-06,3,0.010440000000000001,648.161513
2024-01-06,4,0.2444,681.637706
2024-01-06,5,0.074047,642.784444
2024-01-06,6,0.0002,615.844837
2024-01-06,7,8e-05,625.705174
2024-01-06,8,6.3924319999999994,614.845931
2024-01-06,9,445.569686,557.750324
2024-01-06,10,1739.5070489999998,502.678022
2024-01-06,11,3024.549744,421.425783
2024-01-06,12,3789.989378,377.667525
2024-01-06,13,4045.8944279999996,365.781778
2024-01-06,14,3911.988075,355.50803
2024-01-06,15,3484.566817,387.353572
2024-01-06,16,2404.588922,386.726752
2024-01-06,17,1470.898369,336.610372
2024-01-06,18,891.7053860000001,280.964962
2024-01-06,19,935.309212,244.700277
2024-01-06,20,819.830239,244.472526
2024-01-06,21,430.371728,237.847865
2024-01-06,22,162.900451,311.485648
2024-01-06,23,63.473202,427.86807
2024-01-06,24,15.763763,607.836115
2024-01-07,1,3.042281,763.191121
2024-01-07,2,0.5956680000000001,824.555186
2024-01-07,3,0.068464,830.793579
2024-01-07,4,0.277804,867.608905
2024-01-07,5,0.285087,874.593031
2024-01-07,6,0.268504,819.344126
2024-01-07,7,0.1212,854.348843
2024-01-07,8,4.5418,878.012929
2024-01-07,9,291.718939,922.620284
2024-01-07,10,1184.868317,1029.761896
2024-01-07,11,2362.982194,1051.450548
2024-01-07,12,3248.053493,1045.654618
2024-01-07,13,3520.394644,1061.380128
2024-01-07,14,3361.2844649999997,1014.712478
2024-01-07,15,2799.417593,1016.563278
2024-01-07,16,2145.740236,989.201161
2024-01-07,17,1362.471631,979.109188
2024-01-07,18,878.048281,921.125692
2024-01-07,19,887.609707,834.272341
2024-01-07,20,518.407577,844.678583
2024-01-07,21,243.204626,815.049311
2024-01-07,22,122.09472000000001,697.403779
2024-01-07,23,48.857342,574.840985
2024-01-07,24,12.430781,482.029742
2024-01-08,1,2.814495,436.324575
2024-01-08,2,0.5242519999999999,401.696405
2024-01-08,3,0.05456,360.094123
2024-01-08,4,0.278348,343.220868
2024-01-08,5,0.253299,287.992977
2024-01-08,6,0.0002,354.629958
2024-01-08,7,0.0013599999999999999,348.820517
2024-01-08,8,6.7123539999999995,344.006311
2024-01-08,9,486.360484,314.128353
2024-01-08,10,1882.681263,283.179186
2024-01-08,11,3181.302351,255.786711
2024-01-08,12,3952.095519,191.376486
2024-01-08,13,4336.112494999999,99.832316
2024-01-08,14,4499.786303,129.050935
2024-01-08,15,4178.170312,178.473486
2024-01-08,16,2828.339525,194.559172
2024-01-08,17,1528.169059,287.829897
2024-01-08,18,901.906777,403.181971
2024-01-08,19,933.796585,490.794237
2024-01-08,20,829.980124,563.15245
2024-01-08,21,466.957941,582.70745
2024-01-08,22,168.710325,619.184817
2024-01-08,23,65.09168,662.319618
2024-01-08,24,17.066767000000002,703.057401
2024-01-09,1,3.238021,744.492786
2024-01-09,2,0.669084,729.926982
2024-01-09,3,0.131436,654.237921
2024-01-09,4,0.213616,566.368713
2024-01-09,5,0.21766800000000003,541.679948
2024-01-09,6,0.17099999999999999,488.536248
2024-01-09,7,0.12728,442.149569
2024-01-09,8,2.475655,396.14924
2024-01-09,9,139.18052699999998,369.613703
2024-01-09,10,469.000554,395.290829
2024-01-09,11,732.427657,345.470191
2024-01-09,12,739.258692,282.175872
2024-01-09,13,724.192555,256.286646
2024-01-09,14,707.072312,247.274472
2024-01-09,15,682.436606,237.577878
2024-01-09,16,435.599506,226.211867
2024-01-09,17,602.825469,234.861402
2024-01-09,18,110.79412,232.865602
2024-01-09,19,91.149388,205.175061
2024-01-09,20,37.357872,178.447429
