date,hour,scenario,smp_pre,smp_post,delta_smp,curtailment
2024-01-23,1,Case_A_zero,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,2,Case_A_zero,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,3,Case_A_zero,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,4,Case_A_zero,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,5,Case_A_zero,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,6,Case_A_zero,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,7,Case_A_zero,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,8,Case_A_zero,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,9,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,10,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,11,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,12,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,13,Case_A_zero,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,14,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,15,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,16,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,17,Case_A_zero,80049.927979,80049.927979,0.0,0.0
2024-01-23,18,Case_A_zero,80049.927979,80049.927979,0.0,0.0
2024-01-23,19,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,20,Case_A_zero,60000.0,60000.0,0.0,0.0
2024-01-23,21,Case_A_zero,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,22,Case_A_zero,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,23,Case_A_zero,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,24,Case_A_zero,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,1,Case_B_floor,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,2,Case_B_floor,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,3,Case_B_floor,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,4,Case_B_floor,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,5,Case_B_floor,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,6,Case_B_floor,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,7,Case_B_floor,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,8,Case_B_floor,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,9,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,10,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,11,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,12,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,13,Case_B_floor,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,14,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,15,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,16,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,17,Case_B_floor,80049.927979,80049.927979,0.0,0.0
2024-01-23,18,Case_B_floor,80049.927979,80049.927979,0.0,0.0
2024-01-23,19,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,20,Case_B_floor,60000.0,60000.0,0.0,0.0
2024-01-23,21,Case_B_floor,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,22,Case_B_floor,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,23,Case_B_floor,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,24,Case_B_floor,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,1,Case_C_mixed,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,2,Case_C_mixed,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,3,Case_C_mixed,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,4,Case_C_mixed,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,5,Case_C_mixed,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,6,Case_C_mixed,61845.202026681814,61845.202026681814,0.0,0.0
2024-01-23,7,Case_C_mixed,61890.262443681815,61890.262443681815,0.0,0.0
2024-01-23,8,Case_C_mixed,61935.322860681816,61935.322860681816,0.0,0.0
2024-01-23,9,Case_C_mixed,60000.0,60000.0,0.0,0.0
